"","Aa","Ab","Ac","Ad","Ae","Af","ST01","SU02","D03","ST04","SU05","D06","D07","SU08","ST09","SU10","D11","ST12","SU13","D14","D15","SU16","ST17","SU18","D19","ST20","SU21","D22","D23","SU24","ST25","SU26","D27","ST28","SU29","D30","D31","SU32","Ca","Cb","Cc","Cd","Ce","Cf","Cg","Ch","Da","Db","Dc","Dd","De","Df","Dg","Dh","Di","Dj","Age","Attitude","Points","gender","deep","surf","stra","attitude"
"83",3,3,3,2,1,3,4,5,4,2,3,3,3,2,4,4,4,3,3,3,2,2,2,4,4,4,2,2,2,5,4,4,4,1,2,3,3,4,3,4,4,4,4,2,3,5,3,4,3,4,3,2,2,3,4,3,22,31,31,"M",3.08333333333333,3.33333333333333,3,3.1
"84",4,1,1,1,1,1,3,3,5,1,3,5,5,4,2,3,5,1,3,5,4,1,3,1,5,1,2,5,5,2,1,3,3,1,4,5,5,5,4,5,4,1,2,5,5,4,3,3,5,4,5,1,3,3,3,5,21,35,23,"M",4.75,2.83333333333333,1.625,3.5
"85",5,1,2,2,1,1,3,2,5,3,2,4,5,4,2,1,5,2,2,4,5,3,2,4,4,1,2,4,3,2,1,4,4,1,2,4,4,2,1,5,4,4,2,5,5,3,3,4,5,3,4,3,4,2,3,5,22,36,26,"F",4.25,2.5,1.875,3.6
"86",3,1,1,2,1,1,5,2,5,3,3,5,5,2,4,1,4,3,3,4,3,2,3,1,5,3,3,3,3,2,3,4,3,3,2,5,5,4,4,5,3,3,4,2,5,3,2,3,3,3,2,2,2,4,3,2,23,26,12,"F",4.16666666666667,2.41666666666667,3.375,2.6
"87",3,1,3,1,1,1,5,3,5,5,2,3,5,3,5,3,4,3,1,5,3,3,5,1,5,2,2,5,4,2,2,3,4,3,2,5,5,4,2,5,4,3,3,3,5,5,3,5,5,5,5,3,4,4,5,5,21,44,26,"M",4.41666666666667,2.41666666666667,3.75,4.4
"88",4,2,2,1,1,2,2,4,4,2,2,5,4,1,2,2,4,2,2,2,4,1,2,4,4,2,1,4,4,4,4,5,4,1,1,2,5,4,2,5,2,2,1,4,4,4,4,4,5,5,5,4,5,4,5,4,22,45,31,"M",3.83333333333333,2.58333333333333,2.125,4.5
"89",3,2,2,1,1,1,4,2,5,2,3,2,4,2,3,4,4,2,2,4,3,2,4,4,4,1,2,2,2,4,1,5,4,2,1,2,4,5,4,4,4,5,4,3,3,2,2,4,2,4,2,3,2,5,4,4,29,32,19,"M",3.33333333333333,3,2.375,3.2
"90",2,1,2,1,1,1,3,2,4,2,3,3,3,2,2,2,3,1,1,4,4,3,3,1,4,1,1,3,3,3,1,5,3,1,1,3,4,4,4,5,3,5,4,3,5,5,1,4,3,1,3,1,1,1,1,4,26,20,0,"F",3.41666666666667,2.33333333333333,1.75,2
"91",3,2,2,1,1,2,3,2,4,3,3,2,3,2,4,1,4,2,2,4,2,1,4,2,4,2,2,2,2,2,1,1,4,3,2,4,3,4,2,5,3,4,5,3,4,4,4,4,5,5,5,2,4,2,3,5,29,39,30,"F",3.16666666666667,2,2.75,3.9
"92",2,2,1,1,1,1,5,1,4,2,4,2,4,2,4,4,4,2,4,4,2,2,3,1,4,4,5,2,4,4,4,5,2,1,4,4,2,5,5,2,4,4,5,2,2,5,2,4,4,2,4,1,2,1,1,4,21,25,12,"F",3.16666666666667,3.41666666666667,3.125,2.5
"93",5,3,5,5,5,5,4,2,5,4,5,4,4,2,3,2,4,5,2,4,4,3,2,1,3,4,3,3,4,3,4,5,2,2,2,4,5,4,4,4,3,3,4,2,4,3,3,4,4,2,4,2,3,5,2,4,28,33,17,"M",3.83333333333333,2.83333333333333,3.5,3.3
"94",2,1,2,3,2,1,2,4,5,4,4,3,5,2,1,5,5,1,2,4,5,2,2,2,4,1,4,4,5,4,1,5,4,1,3,2,4,4,3,5,4,4,2,3,4,3,2,5,5,3,4,1,5,2,3,5,23,35,0,"M",4.16666666666667,3.41666666666667,1.625,3.5
"95",2,4,3,5,5,5,4,1,5,3,2,5,4,2,5,2,5,2,1,5,4,2,3,1,4,1,3,3,3,3,1,5,4,2,1,4,5,4,2,5,4,4,5,4,4,5,2,4,5,3,4,1,3,5,1,5,21,33,18,"F",4.25,2.25,2.625,3.3
"96",3,2,2,1,1,1,4,2,5,4,4,4,4,2,2,2,4,4,3,5,4,4,4,1,4,2,2,3,2,2,4,4,3,3,2,4,4,5,3,5,4,4,5,2,4,5,2,4,4,3,2,1,4,2,4,4,30,30,19,"F",3.83333333333333,2.75,3.375,3
"97",2,2,1,1,1,1,4,4,5,2,3,2,4,3,1,4,5,2,4,4,2,4,3,2,5,1,5,4,2,4,4,5,4,1,4,2,5,5,3,5,5,4,5,4,5,3,1,5,4,4,4,1,3,1,2,4,21,29,21,"F",3.66666666666667,3.91666666666667,2.25,2.9
"98",3,1,2,1,1,1,4,3,5,3,3,4,4,2,2,1,4,3,2,4,4,2,3,2,2,4,3,2,4,2,3,4,4,2,2,5,4,2,2,4,4,3,4,4,4,3,3,3,4,4,3,1,4,3,4,4,23,33,24,"M",3.83333333333333,2.33333333333333,3,3.3
"99",3,5,5,5,5,5,4,1,4,3,4,2,4,1,4,2,4,4,1,4,4,3,4,1,4,4,4,3,4,4,5,4,4,4,3,4,5,5,4,4,3,4,4,2,4,4,3,4,4,4,4,1,3,2,4,4,21,33,28,"F",3.83333333333333,2.75,4,3.3
"100",3,4,4,4,5,4,4,3,4,2,4,4,5,1,4,2,4,4,4,5,2,2,4,1,2,4,3,4,4,2,4,4,4,2,2,4,4,5,4,4,4,2,4,2,2,4,3,4,3,4,4,2,3,4,3,5,21,35,17,"F",3.83333333333333,2.75,3.5,3.5
"101",3,1,1,1,1,1,2,2,4,2,3,4,3,3,2,2,3,4,4,3,3,2,3,3,3,2,2,3,4,2,4,4,4,2,3,5,5,5,2,4,3,3,4,3,3,4,3,5,5,3,4,2,4,3,2,5,20,36,18,"F",3.66666666666667,2.91666666666667,2.625,3.6
"102",3,2,2,1,1,1,4,4,5,4,3,3,4,2,4,1,5,2,3,4,4,2,4,1,5,2,1,2,4,5,2,4,5,1,2,4,5,4,1,5,4,4,5,1,5,3,2,5,5,4,5,4,4,5,4,4,21,42,0,"M",4.16666666666667,2.66666666666667,2.875,4.2
"103",1,1,2,1,1,1,4,2,5,2,2,4,4,2,2,1,4,2,2,4,4,1,2,1,4,2,2,5,4,2,4,4,4,2,2,5,5,4,2,4,4,3,5,2,5,4,2,4,4,5,4,2,3,5,4,4,22,37,17,"M",4.33333333333333,2.08333333333333,2.5,3.7
"104",2,5,5,5,5,5,4,4,4,3,4,5,5,4,3,2,5,4,3,5,4,4,5,1,4,2,4,4,2,3,3,4,5,2,5,5,5,5,5,5,5,5,5,4,5,5,3,5,4,1,4,1,3,1,2,4,35,28,0,"F",4.41666666666667,3.58333333333333,3.25,2.8
"105",4,4,4,5,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,4,5,3,4,4,5,5,5,4,3,4,3,4,4,3,4,4,5,5,5,5,5,1,5,1,5,5,21,42,23,"M",3.75,3.66666666666667,3.75,4.2
"106",4,3,2,2,1,2,4,4,3,2,4,1,2,4,2,3,4,1,3,4,2,3,2,4,2,1,2,3,2,4,3,4,2,1,2,4,3,4,3,5,3,4,4,4,4,3,1,3,2,4,1,1,2,4,2,2,22,22,0,"M",2.66666666666667,3.41666666666667,2,2.2
"107",3,1,1,1,1,1,4,4,5,3,2,3,4,1,4,2,5,4,1,5,3,2,3,4,4,4,3,4,4,4,5,4,4,2,2,4,5,5,3,5,5,4,5,3,5,3,3,4,3,4,3,2,3,2,4,4,21,32,26,"M",4.16666666666667,2.83333333333333,3.625,3.2
"108",2,1,1,1,1,1,5,5,5,4,4,4,4,1,5,4,5,5,3,4,3,3,5,3,5,4,2,3,4,4,1,5,5,4,2,3,3,5,1,1,1,1,1,4,1,1,5,5,5,5,5,5,5,5,5,5,20,50,28,"F",4,3.41666666666667,4.125,5
"109",3,1,2,1,1,1,4,1,5,4,2,5,5,1,5,1,4,4,1,4,4,2,4,1,4,5,1,3,4,2,5,2,4,4,1,2,4,4,2,5,4,4,4,3,4,2,4,5,5,5,5,4,4,5,5,5,22,47,31,"M",4,1.58333333333333,4.375,4.7
"110",3,2,3,1,1,1,3,5,5,4,5,4,5,2,2,2,5,3,3,4,4,2,3,4,5,2,2,3,5,2,2,3,5,2,2,5,5,3,1,5,4,5,4,3,4,3,4,4,4,5,4,2,3,2,4,4,20,36,27,"F",4.58333333333333,2.91666666666667,2.625,3.6
"111",3,1,2,1,1,1,4,2,4,4,3,2,4,2,5,2,4,3,3,4,2,4,4,2,4,3,2,2,4,4,5,5,5,4,2,4,5,5,3,5,5,5,3,3,4,4,4,5,5,5,5,1,3,1,2,5,20,36,25,"F",3.66666666666667,3,4,3.6
"112",4,3,4,3,4,3,4,5,4,3,2,3,4,2,3,1,3,1,5,5,2,2,2,3,4,3,1,4,2,2,4,5,3,2,4,5,5,3,4,4,3,4,4,2,3,5,2,5,4,3,2,2,3,2,3,3,24,29,23,"M",3.66666666666667,2.91666666666667,2.75,2.9
"113",1,1,1,1,1,1,4,2,5,5,1,3,5,2,4,4,4,2,3,5,4,2,3,2,4,1,3,2,3,2,2,5,4,1,2,4,3,4,2,5,5,4,5,2,4,4,2,5,4,5,4,2,3,2,4,4,20,35,21,"F",3.83333333333333,2.66666666666667,2.75,3.5
"114",4,3,2,2,1,2,2,3,4,2,2,3,2,4,1,2,3,1,4,3,4,4,2,4,2,1,1,2,2,3,1,4,2,1,1,2,2,4,2,4,3,3,3,3,4,4,4,4,5,4,4,4,5,4,3,3,19,40,27,"F",2.58333333333333,3,1.375,4
"115",3,2,2,1,1,1,4,3,4,2,4,3,4,3,2,2,4,2,2,3,2,2,3,2,4,2,2,4,3,4,1,3,4,2,2,3,4,4,3,5,4,3,3,4,4,3,2,4,4,5,3,2,3,3,4,5,21,35,28,"F",3.5,2.75,2.25,3.5
"116",2,1,1,2,1,1,3,3,3,4,4,2,2,2,4,3,4,4,2,4,2,3,4,4,4,2,2,2,4,3,4,5,4,4,1,3,3,5,5,5,5,5,5,3,3,4,3,3,2,5,3,2,1,5,5,3,21,32,23,"F",3.08333333333333,3.08333333333333,3.625,3.2
"117",2,1,2,1,1,1,5,1,5,4,4,4,5,2,3,1,5,3,2,4,4,3,3,1,2,4,2,4,4,2,5,5,4,3,2,5,5,5,2,5,3,3,4,4,4,5,2,4,4,3,2,1,1,2,3,4,22,26,21,"F",4.25,2.5,3.75,2.6
"118",4,2,2,1,2,2,4,1,5,4,4,2,2,2,4,2,5,4,1,2,2,2,4,1,4,2,2,1,4,2,5,5,5,5,1,2,4,5,2,5,4,5,5,2,4,4,2,4,1,4,1,1,1,1,1,4,25,20,25,"F",3.16666666666667,2.33333333333333,4,2
"119",2,1,2,2,1,2,4,2,4,4,5,3,4,2,2,1,4,4,2,4,2,4,3,1,2,2,4,3,2,4,4,5,2,2,3,3,4,3,2,4,3,2,5,4,5,3,2,4,3,2,3,1,3,2,2,5,21,27,11,"F",3.08333333333333,3,3.125,2.7
