"","Aa","Ab","Ac","Ad","Ae","Af","ST01","SU02","D03","ST04","SU05","D06","D07","SU08","ST09","SU10","D11","ST12","SU13","D14","D15","SU16","ST17","SU18","D19","ST20","SU21","D22","D23","SU24","ST25","SU26","D27","ST28","SU29","D30","D31","SU32","Ca","Cb","Cc","Cd","Ce","Cf","Cg","Ch","Da","Db","Dc","Dd","De","Df","Dg","Dh","Di","Dj","Age","Attitude","Points","gender","deep","surf","stra","attitude"
"47",3,1,2,1,1,2,5,4,4,5,2,3,4,1,5,2,4,5,3,4,3,1,5,1,4,5,3,4,3,2,5,4,3,5,3,4,4,3,2,5,5,3,4,3,4,3,4,5,5,2,4,1,4,2,1,4,24,32,29,"F",3.66666666666667,2.41666666666667,5,3.2
"48",4,1,1,1,1,1,5,5,5,5,4,5,5,3,4,1,4,5,4,5,4,4,4,2,4,5,4,5,4,4,3,4,5,4,4,5,5,4,3,5,4,4,3,4,4,3,4,5,5,4,5,2,5,3,4,5,40,42,23,"F",4.66666666666667,3.58333333333333,4.375,4.2
"49",2,1,1,1,1,1,5,2,5,2,2,5,5,1,2,1,4,4,4,4,2,1,2,1,1,5,3,5,2,2,4,4,2,2,2,5,5,2,3,5,5,4,4,4,5,4,4,5,4,4,4,1,2,1,1,5,25,31,28,"M",3.75,2.08333333333333,3.25,3.1
"50",2,1,2,1,1,1,4,3,4,4,4,5,2,1,5,4,4,4,4,3,3,3,4,4,4,3,4,3,4,4,5,5,3,3,4,3,3,5,5,4,4,4,5,3,3,5,4,5,5,4,5,2,4,2,3,5,23,39,31,"F",3.41666666666667,3.75,4,3.9
"51",5,1,2,1,1,1,5,2,4,5,3,5,4,3,2,2,4,1,3,4,4,3,3,1,3,1,2,5,4,4,4,5,4,4,3,5,4,4,3,5,5,3,2,3,3,4,1,2,1,1,1,1,1,5,5,1,25,19,23,"F",4.16666666666667,2.91666666666667,3.125,1.9
"52",4,2,3,2,1,1,2,1,3,2,2,2,1,4,2,2,4,2,2,4,2,2,4,1,1,2,4,2,4,5,4,5,4,2,2,3,5,5,5,3,4,5,5,2,2,5,1,2,2,4,2,1,1,2,1,5,23,21,25,"F",2.91666666666667,2.91666666666667,2.5,2.1
"53",2,1,1,1,1,1,3,5,5,5,2,3,4,3,2,1,4,2,1,4,5,2,3,1,5,5,4,5,2,1,4,2,3,1,3,5,5,4,3,4,3,5,5,5,5,3,1,5,4,3,2,1,2,1,1,5,27,25,18,"M",4.16666666666667,2.41666666666667,3.125,2.5
"54",4,1,2,2,3,2,4,4,4,2,2,4,3,2,4,1,3,2,4,4,4,2,4,3,4,4,1,3,3,4,4,5,3,2,3,4,4,5,1,5,4,2,3,3,3,3,2,4,4,4,4,1,3,3,3,4,25,32,19,"M",3.58333333333333,3,3.25,3.2
"55",4,1,1,1,1,2,4,2,3,2,4,2,4,4,2,1,3,2,4,4,4,5,4,1,3,1,4,1,2,4,1,5,3,1,3,3,2,4,1,4,4,2,4,1,3,4,3,2,2,5,2,3,2,5,4,4,23,32,22,"M",2.83333333333333,3.41666666666667,2.125,3.2
"56",3,2,2,1,1,1,4,4,5,2,2,4,4,2,4,1,4,1,2,4,4,2,4,2,5,2,3,4,2,4,4,5,3,1,3,4,5,5,4,5,4,5,5,3,5,4,1,4,3,4,4,1,1,1,2,5,23,26,25,"F",4,2.91666666666667,2.75,2.6
"57",3,2,1,1,2,2,3,4,4,2,2,3,4,4,1,3,4,3,2,4,3,4,4,2,2,1,3,2,2,4,3,5,3,2,2,2,2,4,2,4,4,4,3,3,4,4,2,3,2,3,3,1,3,2,2,2,23,23,21,"F",2.91666666666667,3.25,2.375,2.3
"58",4,1,2,1,1,1,4,4,4,4,2,2,5,2,4,2,2,2,4,5,1,2,4,5,4,1,2,5,2,2,4,5,2,2,4,2,2,5,4,5,4,1,5,4,4,4,4,5,5,4,5,1,4,3,2,5,45,38,9,"F",3,3.25,3.125,3.8
"59",3,1,4,2,1,1,5,1,5,5,2,4,4,1,3,1,5,4,3,5,4,4,3,1,4,4,2,4,3,4,5,4,3,3,1,3,5,4,1,5,5,3,4,3,4,3,4,4,2,3,2,1,2,2,4,4,22,28,28,"F",4.08333333333333,2.33333333333333,4,2.8
"60",2,1,2,1,1,1,5,2,4,2,4,3,5,2,4,1,3,5,3,4,2,5,3,1,4,4,2,1,2,5,4,5,2,5,4,1,4,5,5,5,4,5,5,2,3,5,2,2,2,5,3,2,2,5,5,5,23,33,25,"F",2.91666666666667,3.25,4,3.3
"61",4,2,3,3,1,3,2,2,4,1,1,4,3,4,2,1,3,4,3,4,4,3,2,1,2,1,1,4,2,3,5,4,3,1,3,5,4,4,3,5,3,4,4,4,5,2,4,5,5,5,5,4,5,5,5,5,21,48,29,"M",3.5,2.5,2.25,4.8
