Gender,Age,Attitude,Deep,Stra,Surf,Points
2,53,5.7923497267759565,-1.3497267759562845,2.3169398907103833,-2.508196721311478,25
1,55,-0.2076502732240435,-9.349726775956285,-2.6830601092896167,4.491803278688522,12
2,49,-6.2076502732240435,-2.3497267759562845,4.316939890710383,-6.508196721311478,24
1,53,3.7923497267759565,-2.3497267759562845,0.3169398907103833,-6.508196721311478,10
1,49,5.7923497267759565,-0.34972677595628454,4.316939890710383,0.491803278688522,22
2,38,6.7923497267759565,12.650273224043715,4.316939890710383,-4.508196721311478,21
1,50,3.7923497267759565,1.6502732240437155,-6.683060109289617,-10.508196721311478,21
2,37,-2.2076502732240435,-5.3497267759562845,7.316939890710383,0.491803278688522,31
1,37,6.7923497267759565,7.6502732240437155,9.316939890710383,-7.508196721311478,24
2,42,-10.207650273224044,3.6502732240437155,3.3169398907103833,2.491803278688522,26
1,37,7.7923497267759565,-1.3497267759562845,4.316939890710383,-1.508196721311478,31
2,34,6.7923497267759565,1.6502732240437155,13.316939890710383,-4.508196721311478,31
2,34,-7.2076502732240435,6.6502732240437155,4.316939890710383,-6.508196721311478,23
2,34,-1.2076502732240435,-4.3497267759562845,3.3169398907103833,-0.508196721311478,25
1,35,-5.2076502732240435,5.6502732240437155,-10.683060109289617,-5.508196721311478,21
2,33,9.792349726775956,-0.34972677595628454,6.316939890710383,-5.508196721311478,31
2,32,-5.2076502732240435,4.6502732240437155,-13.683060109289617,1.491803278688522,20
2,44,-5.2076502732240435,-2.3497267759562845,1.3169398907103833,-3.508196721311478,22
1,29,-14.207650273224044,4.6502732240437155,-0.6830601092896167,11.491803278688522,9
2,30,-4.2076502732240435,3.6502732240437155,5.316939890710383,-0.508196721311478,24
1,27,7.7923497267759565,2.6502732240437155,-3.6830601092896167,-5.508196721311478,28
1,29,2.7923497267759565,3.6502732240437155,-5.683060109289617,-4.508196721311478,30
2,31,-4.2076502732240435,3.6502732240437155,4.316939890710383,2.491803278688522,24
2,37,-8.207650273224044,-0.34972677595628454,-2.6830601092896167,-4.508196721311478,9
2,26,5.7923497267759565,-0.34972677595628454,-10.683060109289617,0.491803278688522,26
2,26,12.792349726775956,8.650273224043715,1.3169398907103833,4.491803278688522,32
1,30,9.792349726775956,2.6502732240437155,7.316939890710383,2.491803278688522,32
2,33,5.7923497267759565,0.6502732240437155,4.316939890710383,-9.508196721311478,33
2,33,-6.2076502732240435,-5.3497267759562845,-1.6830601092896167,8.491803278688522,29
1,28,-1.2076502732240435,-1.3497267759562845,-0.6830601092896167,11.491803278688522,30
1,26,2.7923497267759565,14.650273224043715,-11.683060109289617,-3.508196721311478,19
2,27,0.7923497267759565,-1.3497267759562845,1.3169398907103833,-8.508196721311478,23
2,25,-11.207650273224044,-9.349726775956285,3.3169398907103833,-4.508196721311478,19
2,31,-7.2076502732240435,-0.34972677595628454,-0.6830601092896167,-2.508196721311478,12
1,20,10.792349726775956,9.650273224043715,1.3169398907103833,-14.508196721311478,10
2,39,-15.207650273224044,4.6502732240437155,-9.683060109289617,0.491803278688522,11
1,38,-0.2076502732240435,1.6502732240437155,10.316939890710383,-11.508196721311478,20
1,24,6.7923497267759565,-5.3497267759562845,4.316939890710383,-4.508196721311478,26
1,26,6.7923497267759565,-16.349726775956285,-4.683060109289617,5.491803278688522,31
1,25,1.7923497267759565,-4.3497267759562845,-14.683060109289617,7.491803278688522,20
2,30,-14.207650273224044,4.6502732240437155,7.316939890710383,7.491803278688522,23
2,25,-6.2076502732240435,-9.349726775956285,-0.6830601092896167,4.491803278688522,12
1,30,0.7923497267759565,-4.3497267759562845,-4.683060109289617,8.491803278688522,24
2,48,3.7923497267759565,1.6502732240437155,14.316939890710383,-1.508196721311478,17
2,24,0.7923497267759565,-0.34972677595628454,15.316939890710383,-4.508196721311478,29
2,40,10.792349726775956,11.650273224043715,10.316939890710383,9.491803278688522,23
1,25,-0.2076502732240435,0.6502732240437155,1.3169398907103833,-8.508196721311478,28
2,23,7.7923497267759565,-3.3497267759562845,7.316939890710383,11.491803278688522,31
2,25,-12.207650273224044,5.6502732240437155,0.3169398907103833,1.491803278688522,23
2,23,-10.207650273224044,-9.349726775956285,-4.683060109289617,1.491803278688522,25
1,27,-6.2076502732240435,5.6502732240437155,0.3169398907103833,-4.508196721311478,18
1,25,0.7923497267759565,-1.3497267759562845,1.3169398907103833,2.491803278688522,19
1,23,0.7923497267759565,-10.349726775956285,-7.683060109289617,7.491803278688522,22
2,23,-5.2076502732240435,3.6502732240437155,-2.6830601092896167,1.491803278688522,25
2,23,-8.207650273224044,-9.349726775956285,-5.683060109289617,5.491803278688522,21
2,45,6.7923497267759565,-8.349726775956285,0.3169398907103833,5.491803278688522,9
2,22,-3.2076502732240435,4.6502732240437155,7.316939890710383,-5.508196721311478,28
2,23,1.7923497267759565,-9.349726775956285,7.316939890710383,5.491803278688522,25
1,21,16.792349726775956,-2.3497267759562845,-6.683060109289617,-3.508196721311478,29
1,21,8.792349726775956,7.6502732240437155,1.3169398907103833,-12.508196721311478,33
2,21,8.792349726775956,6.6502732240437155,4.316939890710383,-6.508196721311478,33
2,21,15.792349726775956,-3.3497267759562845,4.316939890710383,-8.508196721311478,25
2,26,-8.207650273224044,-7.3497267759562845,-4.683060109289617,0.491803278688522,18
2,25,-0.2076502732240435,10.650273224043715,-9.683060109289617,0.491803278688522,22
2,26,-4.2076502732240435,-3.3497267759562845,-8.683060109289617,-4.508196721311478,17
1,21,9.792349726775956,-3.3497267759562845,-9.683060109289617,-6.508196721311478,25
2,23,2.7923497267759565,-3.3497267759562845,7.316939890710383,0.491803278688522,28
2,22,-6.2076502732240435,-1.3497267759562845,-1.6830601092896167,-6.508196721311478,22
2,22,-10.207650273224044,-25.349726775956285,6.316939890710383,-11.508196721311478,26
2,22,-17.207650273224044,-4.3497267759562845,-4.683060109289617,1.491803278688522,11
2,23,-12.207650273224044,7.6502732240437155,-2.6830601092896167,1.491803278688522,29
1,22,5.7923497267759565,8.650273224043715,11.316939890710383,-8.508196721311478,22
1,23,0.7923497267759565,13.650273224043715,2.3169398907103833,-5.508196721311478,21
1,24,-3.2076502732240435,-7.3497267759562845,-3.6830601092896167,-4.508196721311478,28
2,22,9.792349726775956,-8.349726775956285,8.316939890710383,-0.508196721311478,33
2,23,-6.2076502732240435,4.6502732240437155,-3.6830601092896167,5.491803278688522,16
1,22,-3.2076502732240435,4.6502732240437155,-6.683060109289617,-12.508196721311478,31
1,20,6.7923497267759565,0.6502732240437155,-2.6830601092896167,-2.508196721311478,22
1,22,-0.2076502732240435,-7.3497267759562845,-0.6830601092896167,6.491803278688522,31
1,21,3.7923497267759565,12.650273224043715,-11.683060109289617,0.491803278688522,23
2,22,4.7923497267759565,6.6502732240437155,-9.683060109289617,-3.508196721311478,26
2,23,-5.2076502732240435,5.6502732240437155,2.3169398907103833,-4.508196721311478,12
1,21,12.792349726775956,8.650273224043715,5.316939890710383,-4.508196721311478,26
1,22,13.792349726775956,1.6502732240437155,-7.683060109289617,-2.508196721311478,31
1,29,0.7923497267759565,-4.3497267759562845,-5.683060109289617,2.491803278688522,19
2,29,7.7923497267759565,-6.3497267759562845,-2.6830601092896167,-9.508196721311478,30
2,21,-6.2076502732240435,-6.3497267759562845,0.3169398907103833,7.491803278688522,12
1,28,1.7923497267759565,1.6502732240437155,3.3169398907103833,0.491803278688522,17
2,21,1.7923497267759565,6.6502732240437155,-3.6830601092896167,-6.508196721311478,18
2,30,-1.2076502732240435,1.6502732240437155,2.3169398907103833,-0.508196721311478,19
2,21,-2.2076502732240435,-0.34972677595628454,-6.683060109289617,13.491803278688522,21
1,23,1.7923497267759565,1.6502732240437155,-0.6830601092896167,-5.508196721311478,24
2,21,1.7923497267759565,1.6502732240437155,7.316939890710383,-0.508196721311478,28
2,21,3.7923497267759565,1.6502732240437155,3.3169398907103833,-0.508196721311478,17
2,20,4.7923497267759565,-0.34972677595628454,-3.6830601092896167,1.491803278688522,18
1,22,5.7923497267759565,7.6502732240437155,-4.683060109289617,-8.508196721311478,17
1,21,10.792349726775956,0.6502732240437155,5.316939890710383,10.491803278688522,23
1,21,0.7923497267759565,5.6502732240437155,4.316939890710383,0.491803278688522,26
2,20,18.792349726775956,3.6502732240437155,8.316939890710383,7.491803278688522,28
1,22,15.792349726775956,3.6502732240437155,10.316939890710383,-14.508196721311478,31
2,20,4.7923497267759565,10.650273224043715,-3.6830601092896167,1.491803278688522,27
2,20,4.7923497267759565,-0.34972677595628454,7.316939890710383,2.491803278688522,25
1,24,-2.2076502732240435,-0.34972677595628454,-2.6830601092896167,1.491803278688522,23
2,20,3.7923497267759565,1.6502732240437155,-2.6830601092896167,-1.508196721311478,21
2,19,8.792349726775956,-13.349726775956285,-13.683060109289617,2.491803278688522,27
2,21,3.7923497267759565,-2.3497267759562845,-6.683060109289617,-0.508196721311478,28
2,21,0.7923497267759565,-7.3497267759562845,4.316939890710383,3.491803278688522,23
2,22,-5.2076502732240435,6.6502732240437155,5.316939890710383,-3.508196721311478,21
2,25,-11.207650273224044,-6.3497267759562845,7.316939890710383,-5.508196721311478,25
2,21,-4.2076502732240435,-7.3497267759562845,0.3169398907103833,2.491803278688522,11
2,22,0.7923497267759565,5.6502732240437155,1.3169398907103833,2.491803278688522,19
2,25,1.7923497267759565,-17.349726775956285,-7.683060109289617,14.491803278688522,24
2,20,7.7923497267759565,-4.3497267759562845,-1.6830601092896167,5.491803278688522,28
1,24,1.7923497267759565,-7.3497267759562845,-12.683060109289617,8.491803278688522,21
2,20,-1.2076502732240435,-11.349726775956285,-4.683060109289617,8.491803278688522,24
1,21,5.7923497267759565,-5.3497267759562845,1.3169398907103833,12.491803278688522,24
2,20,-6.2076502732240435,3.6502732240437155,4.316939890710383,1.491803278688522,20
2,20,-2.2076502732240435,-1.3497267759562845,6.316939890710383,-7.508196721311478,19
1,31,7.7923497267759565,4.6502732240437155,6.316939890710383,-13.508196721311478,30
2,20,4.7923497267759565,6.6502732240437155,-5.683060109289617,-8.508196721311478,22
