predictors;testingerrors;trainingerrors
10;0.2591623;0.2827225 
9;0.2591623;0.2801047
8;0.2722513;0.2905759
7;0.2670157; 0.2748691
6;0.2722513;0.2774869
5;0.2774869;0.2984293
4;0.3010471;0.3010471
3;0.2801047;0.2748691, 
2;0.2774869;0.2827225, 
1;0.2879581;0.2853403
