hdir,Country,hdi,lifeexp,eduexp,edumean,gni,g_h,giir,gii,maternaldr,teenbr,prp,edu2F,edu2M,workrF,workrM,gedu2,gworkr
134,Syrian Arab Republic,0.594,69.6,12.3,6.3,2728,21,134,0.533,49,41.6,12.4,29.5,40.5,13.5,72.7,0.7283950617283951,0.1856946354883081
134,Vanuatu,0.594,71.9,10.6,6.8,2803,19,134,NA,86,44.8,0,NA,NA,61.5,80,NA,0.76875
136,Congo,0.591,62.3,11.1,6.1,6012,-14,136,0.593,410,126.7,11.5,39.7,47,68.5,73,0.8446808510638298,0.9383561643835616
137,Kiribati,0.59,66,12.3,7.8,2434,21,137,NA,130,16.6,8.7,NA,NA,NA,NA,NA,NA
138,Equatorial Guinea,0.587,57.6,9,5.5,21056,-84,138,NA,290,112.6,19.7,NA,NA,80.7,92.2,NA,0.8752711496746204
139,Zambia,0.586,60.1,13.5,6.6,3734,2,139,0.587,280,125.4,12.7,25.8,44,73.1,85.6,0.5863636363636364,0.8539719626168224
140,Ghana,0.579,61.4,11.5,7,3852,-1,140,0.554,380,58.4,10.9,45.2,64.7,67.3,71.4,0.6986089644513138,0.9425770308123248
141,Lao People's Democratic Republic,0.575,66.2,10.6,5,4680,-6,141,NA,NA,65,25,22.9,37,76.3,79.1,0.6189189189189189,0.9646017699115045
142,Bangladesh,0.57,71.6,10,5.1,3191,5,142,0.503,170,80.6,20,34.1,41.3,57.4,84.1,0.8256658595641647,0.6825208085612366
143,Cambodia,0.555,68.4,10.9,4.4,2949,7,143,0.477,170,44.3,19,9.9,22.9,78.8,86.5,0.4323144104803494,0.9109826589595376
143,Sao Tome and Principe,0.555,66.5,11.3,4.7,2918,8,143,NA,210,65.1,18.2,NA,NA,45.3,77.8,NA,0.5822622107969152
145,Kenya,0.548,61.6,11,6.3,2762,9,145,0.552,400,93.6,20.8,25.3,31.4,62.2,72.4,0.8057324840764332,0.8591160220994475
145,Nepal,0.548,69.6,12.4,3.3,2311,16,145,0.489,190,73.7,29.5,17.7,38.2,79.9,87.1,0.4633507853403141,0.9173363949483354
147,Pakistan,0.538,66.2,7.8,4.7,4866,-14,147,0.536,170,27.3,19.7,19.3,46.1,24.6,82.9,0.41865509761388287,0.2967430639324487
148,Myanmar,0.536,65.9,8.6,4.1,4608,-12,148,0.413,200,12.1,4.7,22.9,15.3,75.2,82.3,1.4967320261437906,0.91373025516403406
149,Angola,0.532,52.3,11.4,4.7,6822,-30,149,NA,460,170.2,36.8,NA,NA,63.3,76.9,NA,0.8231469440832249
150,Swaziland,0.531,49,11.3,7.1,5542,-25,150,0.557,310,72,14.7,21.9,26,43.9,71.6,0.8423076923076922,0.6131284916201117
151,Tanzania (United Republic of),0.521,65,9.2,5.1,2411,8,151,0.547,410,122.7,36,5.6,9.5,88.1,90.2,0.5894736842105263,0.9767184035476717
152,Nigeria,0.514,52.8,9,5.9,5341,-24,152,NA,560,119.6,6.6,NA,NA,48.2,63.7,NA,0.7566718995290423
153,Cameroon,0.512,55.5,10.4,6,2803,-1,153,0.587,590,115.8,27.1,21.3,34.9,63.8,76.8,0.6103151862464183,0.8307291666666666
154,Madagascar,0.51,65.1,10.3,6,1328,24,154,NA,440,122.8,20.5,NA,NA,86.6,90.5,NA,0.9569060773480662
155,Zimbabwe,0.509,57.5,10.9,7.3,1615,13,155,0.504,470,60.3,35.1,48.7,62,83.2,89.7,0.785483870967742,0.927536231884058
156,Mauritania,0.506,63.1,8.5,3.8,3560,-14,156,0.61,320,73.3,22.2,8.3,20.9,28.7,79.1,0.3971291866028709,0.36283185840707965
156,Solomon Islands,0.506,67.9,9.2,5,1540,16,156,NA,130,64.9,2,NA,NA,53.4,79,NA,0.6759493670886075
158,Papua New Guinea,0.505,62.6,9.9,4,2463,-1,158,0.611,220,62.1,2.7,7.6,14.5,70.5,74,0.5241379310344827,0.9527027027027027
159,Comoros,0.503,63.3,11.5,4.6,1456,16,159,NA,350,51.1,3,NA,NA,35.2,80.1,NA,0.43945068664169795
160,Yemen,0.498,63.8,9.2,2.6,3519,-17,160,0.744,270,47,0.7,8.6,26.7,25.4,72.2,0.32209737827715357,0.35180055401662047
161,Lesotho,0.497,49.8,11.1,5.9,3306,-16,161,0.541,490,89.4,26.8,21.9,19,59,73.5,1.1526315789473685,0.8027210884353742
162,Togo,0.484,59.7,12.2,4.5,1228,17,162,0.588,450,91.5,17.6,16.1,40.3,80.6,81.3,0.3995037220843673,0.991389913899139
163,Haiti,0.483,62.8,8.7,4.9,1669,4,163,0.603,380,42,3.5,22.4,35.2,60.9,71,0.6363636363636362,0.8577464788732394
163,Rwanda,0.483,64.2,10.3,3.7,1458,11,163,0.4,320,33.6,57.5,8,8.8,86.4,85.3,0.9090909090909091,1.0128956623681127
163,Uganda,0.483,58.5,9.8,5.4,1613,6,163,0.538,360,126.6,35,22.9,33.5,75.8,79.2,0.6835820895522388,0.957070707070707
166,Benin,0.48,59.6,11.1,3.3,1767,0,166,0.614,340,90.2,8.4,11.3,27,67.6,78.3,0.41851851851851857,0.8633461047254151
167,Sudan,0.479,63.5,7,3.1,3809,-27,167,0.591,360,84,23.8,12.1,18.2,31.3,76,0.6648351648351648,0.4118421052631579
168,Djibouti,0.47,62,6.4,3.8,3276,-22,168,NA,230,18.6,12.7,NA,NA,36.3,67.7,NA,0.5361890694239291
169,South Sudan,0.467,55.7,7.6,5.4,2332,-9,169,NA,730,75.3,24.3,NA,NA,NA,NA,NA,NA
170,Senegal,0.466,66.5,7.9,2.5,2188,-8,170,0.528,320,94.4,42.7,7.2,15.4,66,88,0.4675324675324675,0.75
171,Afghanistan,0.465,60.4,9.3,3.2,1885,-7,171,0.693,400,86.8,27.6,5.9,29.8,15.8,79.5,0.19798657718120807,0.19874213836477989
172,Côte d'Ivoire,0.462,51.5,8.9,4.3,3171,-24,172,0.679,720,130.3,9.2,14,30.1,52.4,81.4,0.46511627906976744,0.6437346437346436
173,Malawi,0.445,62.8,10.8,4.3,747,13,173,0.611,510,144.8,16.7,11.1,21.6,84.6,81.5,0.5138888888888888,1.038036809815951
174,Ethiopia,0.442,64.1,8.5,2.4,1428,2,174,0.558,420,78.4,25.5,7.8,18.2,78.2,89.3,0.4285714285714286,0.8756998880179172
175,Gambia,0.441,60.2,8.8,2.8,1507,-2,175,0.622,430,115.8,9.4,17.4,31.5,72.2,82.9,0.5523809523809523,0.8709288299155609
176,Congo (Democratic Republic of the),0.433,58.7,9.8,6,680,11,176,0.673,730,135.3,8.2,12.8,32.4,70.7,73.2,0.39506172839506176,0.9658469945355191
177,Liberia,0.43,60.9,9.5,4.1,805,7,177,0.651,640,117.4,10.7,15.4,39.3,58.2,64.8,0.3918575063613232,0.8981481481481483
178,Guinea-Bissau,0.42,55.2,9,2.8,1362,-1,178,NA,560,99.3,13.7,NA,NA,68.2,78.5,NA,0.8687898089171975
179,Mali,0.419,58,8.4,2,1583,-8,179,0.677,550,175.6,9.5,7.7,15.1,50.8,81.4,0.5099337748344371,0.624078624078624
180,Mozambique,0.416,55.1,9.3,3.2,1123,1,180,0.591,480,137.8,39.6,1.4,6.2,85.5,82.8,0.2258064516129032,1.032608695652174
181,Sierra Leone,0.413,50.9,8.6,3.1,1780,-16,181,0.65,1100,100.7,12.4,10,21.7,65.7,69,0.4608294930875576,0.9521739130434783
182,Guinea,0.411,58.8,8.7,2.4,1096,0,182,NA,650,131,21.9,NA,NA,65.6,78.3,NA,0.8378033205619412
