hdir,Country,hdi,lifeexp,eduexp,edumean,gni,g_h,giir,gii,maternaldr,teenbr,prp,edu2F,edu2M,workrF,workrM,gedu2,gworkr
183,Burkina Faso,0.402,58.7,7.8,1.4,1591,-13,183,0.631,400,115.4,13.3,0.9,3.2,77.1,90,0.28125,0.8566666666666666
184,Burundi,0.4,56.7,10.1,2.7,758,1,184,0.492,740,30.3,34.9,5.3,8.3,83.3,82,0.6385542168674698,1.0158536585365854
185,Chad,0.392,51.6,7.4,1.9,2085,-22,185,0.706,980,152,14.9,1.7,9.9,64,79.2,0.1717171717171717,0.8080808080808081
186,Eritrea,0.391,63.7,4.1,3.9,1130,-6,186,NA,380,65.3,22,NA,NA,80,89.8,NA,0.89086859688196
187,Central African Republic,0.35,50.7,7.2,4.2,581,1,187,0.655,880,98.3,12.5,10.1,26.7,72.6,85.1,0.3782771535580524,0.8531139835487661
188,Niger,0.348,61.4,5.4,1.5,908,-5,188,0.713,630,204.8,13.3,2.4,7.8,40,89.7,0.3076923076923077,0.4459308807134894
NA,Arab States,0.686,70.6,12,6.4,15722,NA,NA,0.537,155,45.4,14,34.7,47.6,23.2,75.3,0.7289915966386555,0.30810092961487384
NA,East Asia and the Pacific,0.71,74,12.7,7.5,11449,NA,NA,0.328,72,21.2,18.7,54.7,66.3,62.6,79.4,0.8250377073906486,0.7884130982367757
NA,Europe and Central Asia,0.748,72.3,13.6,10,12791,NA,NA,0.3,28,30.8,19,70.8,80.6,45.6,70,0.8784119106699753,0.6514285714285715
NA,Latin America and the Caribbean,0.748,75,14,8.2,14242,NA,NA,0.415,85,68.3,27,54.3,55.2,53.7,79.8,0.983695652173913,0.6729323308270677
NA,South Asia,0.607,68.4,11.2,5.5,5605,NA,NA,0.536,183,38.7,17.5,29.1,54.6,29.8,80.3,0.532967032967033,0.3711083437110835
NA,Sub-Saharan Africa,0.518,58.5,9.6,5.2,3363,NA,NA,0.575,506,109.7,22.5,22.1,31.5,65.4,76.6,0.7015873015873016,0.85378590078329
NA,World,0.711,71.5,12.2,7.9,14301,NA,NA,0.449,210,47.4,21.8,54.5,65.4,50.3,76.7,0.8333333333333333,0.6558018252933506
