Aa      	Ab      	Ac      	Ad      	Ae      	Af      	ST01    	SU02    	D03     	ST04    	SU05    	D06     	D07     	SU08    	ST09    	SU10    	D11     	ST12    	SU13    	D14     	D15     	SU16    	ST17    	SU18    	D19     	ST20    	SU21    	D22     	D23     	SU24    	ST25    	SU26    	D27     	ST28    	SU29    	D30     	D31     	SU32    	Ca      	Cb      	Cc      	Cd      	Ce      	Cf      	Cg      	Ch      	Da      	Db      	Dc      	Dd      	De      	Df      	Dg      	Dh      	Di      	Dj      	Age     	Attitude	Points  	gender
   3	  2	  2	  1	  1	  1	  4	  4	  5	  3	  2	  3	  4	  2	  2	  1	  5	  4	  2	  4	  2	  2	  5	  1	  4	  1	  4	  5	  3	  1	  1	  4	  2	  2	  2	  3	  4	  4	  5	  5	  5	  3	  5	  2	  3	  4	  3	  2	  4	  2	  3	  1	  3	  1	  1	  3	 37	 23	  9	F
   2	  2	  1	  1	  1	  1	  2	  2	  5	  2	  2	  4	  4	  4	  4	  1	  4	  1	  5	  4	  2	  4	  2	  1	  4	  1	  2	  2	  4	  2	  1	  5	  3	  1	  2	  4	  4	  4	  1	  4	  2	  5	  4	  2	  4	  2	  2	  5	  5	  5	  5	  2	  4	  2	  2	  5	 26	 37	 26	F
   3	  1	  2	  1	  1	  1	  3	  4	  5	  3	  3	  5	  5	  2	  4	  2	  5	  3	  3	  5	  2	  5	  4	  2	  5	  3	  1	  3	  5	  5	  3	  3	  5	  3	  3	  3	  5	  5	  3	  5	  5	  3	  5	  2	  3	  4	  4	  5	  5	  5	  5	  2	  4	  5	  4	  5	 26	 44	 32	F
   2	  2	  1	  1	  1	  1	  5	  4	  5	  4	  4	  4	  4	  1	  4	  4	  4	  4	  3	  4	  2	  4	  3	  1	  4	  4	  2	  4	  4	  4	  5	  4	  4	  3	  1	  4	  4	  4	  4	  5	  5	  4	  4	  4	  5	  4	  4	  5	  5	  4	  5	  2	  4	  3	  4	  5	 30	 41	 32	M
   4	  2	  3	  1	  2	  2	  4	  4	  5	  3	  1	  3	  3	  2	  1	  1	  4	  3	  1	  4	  4	  2	  2	  1	  4	  1	  1	  4	  3	  2	  1	  5	  3	  2	  3	  5	  4	  3	  3	  4	  3	  3	  3	  3	  4	  2	  1	  4	  3	  3	  3	  1	  3	  2	  1	  3	 37	 24	  0	F
   3	  1	  2	  1	  1	  1	  4	  1	  5	  4	  2	  4	  4	  2	  4	  2	  3	  2	  2	  4	  3	  1	  2	  1	  3	  5	  3	  3	  3	  2	  4	  2	  4	  4	  2	  4	  5	  4	  4	  5	  4	  3	  4	  3	  3	  4	  4	  4	  3	  5	  4	  4	  2	  1	  5	  5	 33	 37	 33	F
   2	  2	  3	  2	  1	  3	  3	  4	  4	  3	  4	  4	  3	  1	  3	  3	  3	  2	  4	  4	  3	  4	  4	  3	  4	  2	  4	  3	  2	  3	  4	  5	  2	  2	  3	  3	  4	  4	  4	  4	  3	  4	  5	  1	  2	  5	  1	  3	  3	  4	  3	  1	  3	  2	  2	  3	 33	 25	 29	F
   2	  4	  2	  2	  1	  2	  4	  4	  4	  3	  3	  5	  4	  2	  4	  4	  5	  2	  4	  4	  2	  5	  5	  3	  4	  2	  2	  3	  4	  5	  2	  5	  2	  2	  3	  2	  4	  5	  5	  4	  5	  3	  5	  4	  4	  4	  4	  3	  4	  2	  4	  2	  4	  2	  2	  3	 28	 30	 30	M
   1	  1	  1	  1	  1	  1	  2	  4	  5	  2	  4	  5	  5	  1	  4	  1	  5	  1	  1	  5	  5	  1	  1	  4	  4	  1	  5	  5	  5	  1	  1	  1	  5	  1	  2	  5	  5	  5	  5	  5	  5	  5	  5	  5	  5	  5	  1	  5	  5	  4	  5	  1	  4	  3	  1	  5	 26	 34	 19	M
   4	  1	  1	  1	  1	  1	  5	  2	  5	  2	  2	  4	  4	  2	  4	  1	  3	  4	  2	  5	  2	  1	  4	  1	  4	  1	  2	  4	  3	  2	  4	  4	  2	  2	  2	  3	  4	  4	  4	  5	  4	  4	  4	  2	  5	  4	  3	  4	  4	  4	  4	  1	  4	  4	  2	  2	 27	 32	 23	F
   3	  2	  2	  1	  2	  3	  4	  1	  3	  4	  2	  3	  4	  2	  2	  3	  3	  4	  3	  4	  2	  2	  3	  1	  3	  3	  2	  3	  3	  3	  4	  5	  2	  4	  2	  3	  2	  3	  3	  4	  3	  3	  4	  2	  3	  2	  2	  3	  2	  1	  2	  1	  2	  2	  1	  4	 25	 20	 19	F
   4	  3	  1	  1	  1	  1	  4	  2	  4	  4	  2	  4	  3	  3	  3	  1	  4	  3	  3	  4	  4	  3	  3	  1	  4	  3	  3	  3	  3	  3	  2	  4	  3	  2	  2	  4	  4	  4	  3	  5	  4	  2	  4	  4	  4	  4	  2	  4	  4	  1	  2	  1	  2	  2	  1	  5	 31	 24	 12	F
   2	  5	  4	  5	  5	  4	  4	  1	  5	  4	  2	  4	  5	  2	  3	  1	  5	  3	  1	  4	  4	  1	  3	  1	  4	  3	  1	  4	  5	  1	  4	  3	  4	  2	  2	  5	  5	  3	  3	  5	  3	  2	  3	  4	  5	  3	  3	  4	  5	  4	  5	  3	  4	  5	  4	  5	 20	 42	 10	M
   4	  4	  5	  5	  5	  5	  5	  1	  4	  4	  1	  5	  3	  3	  1	  5	  5	  1	  5	  5	  3	  1	  1	  1	  4	  1	  1	  5	  2	  1	  1	  5	  3	  1	  5	  5	  5	  5	  4	  4	  2	  2	  2	  2	  1	  5	  1	  4	  4	  1	  1	  1	  1	  1	  1	  1	 39	 16	 11	F
   4	  1	  2	  1	  1	  1	  5	  2	  4	  5	  2	  4	  4	  2	  4	  1	  4	  4	  2	  4	  4	  1	  4	  1	  4	  4	  2	  4	  4	  2	  4	  4	  4	  5	  1	  3	  3	  2	  2	  4	  4	  4	  3	  4	  4	  3	  3	  4	  4	  2	  4	  2	  4	  2	  2	  4	 38	 31	 20	M
   3	  3	  1	  1	  2	  3	  4	  5	  4	  5	  2	  3	  5	  1	  4	  2	  2	  5	  4	  4	  2	  1	  2	  1	  3	  3	  2	  3	  2	  2	  2	  5	  3	  4	  2	  4	  4	  2	  1	  4	  3	  3	  4	  4	  3	  2	  4	  5	  5	  5	  4	  1	  3	  4	  2	  5	 24	 38	 26	M
   2	  3	  3	  4	  1	  4	  4	  4	  4	  2	  2	  1	  2	  2	  2	  2	  2	  2	  4	  4	  1	  4	  2	  4	  2	  3	  1	  1	  2	  4	  4	  5	  3	  1	  2	  4	  2	  5	  4	  5	  2	  2	  3	  2	  3	  4	  4	  4	  5	  4	  4	  2	  3	  5	  4	  3	 26	 38	 31	M
   4	  1	  2	  1	  1	  2	  2	  3	  4	  1	  4	  4	  5	  4	  1	  4	  2	  2	  2	  4	  5	  4	  1	  4	  2	  1	  1	  2	  2	  4	  1	  5	  2	  1	  2	  4	  4	  4	  2	  5	  4	  5	  4	  2	  4	  3	  3	  5	  4	  2	  4	  2	  3	  3	  2	  5	 25	 33	 20	M
   4	  2	  2	  1	  2	  1	  4	  4	  5	  5	  3	  4	  4	  2	  4	  3	  4	  3	  4	  4	  5	  2	  3	  4	  5	  5	  3	  3	  2	  2	  5	  5	  5	  3	  5	  3	  5	  4	  1	  4	  3	  3	  4	  4	  4	  5	  2	  4	  2	  1	  1	  1	  1	  1	  1	  3	 30	 17	 23	F
   3	  2	  1	  1	  1	  2	  4	  2	  4	  4	  4	  4	  3	  4	  2	  2	  2	  2	  2	  4	  2	  4	  4	  2	  2	  2	  2	  2	  2	  4	  4	  4	  2	  2	  4	  4	  4	  4	  4	  5	  3	  4	  4	  3	  4	  4	  2	  4	  4	  1	  2	  1	  3	  2	  1	  5	 25	 25	 12	F
   4	  5	  5	  4	  5	  5	  3	  5	  3	  2	  2	  4	  4	  4	  2	  2	  3	  2	  4	  4	  3	  4	  2	  3	  3	  5	  1	  3	  3	  5	  3	  4	  3	  1	  4	  4	  3	  4	  4	  5	  2	  4	  4	  3	  4	  4	  3	  4	  4	  3	  4	  2	  3	  3	  2	  4	 30	 32	 24	M
   2	  1	  2	  1	  1	  1	  5	  1	  5	  5	  4	  4	  5	  2	  5	  1	  5	  5	  4	  4	  2	  1	  5	  2	  5	  4	  2	  4	  2	  2	  5	  5	  4	  5	  3	  1	  5	  5	  4	  5	  5	  2	  5	  2	  4	  5	  2	  5	  5	  2	  5	  1	  4	  4	  2	  5	 48	 35	 17	F
   3	  1	  2	  1	  1	  2	  5	  4	  4	  5	  2	  3	  4	  1	  5	  2	  4	  5	  3	  4	  3	  1	  5	  1	  4	  5	  3	  4	  3	  2	  5	  4	  3	  5	  3	  4	  4	  3	  2	  5	  5	  3	  4	  3	  4	  3	  4	  5	  5	  2	  4	  1	  4	  2	  1	  4	 24	 32	 29	F
   4	  1	  1	  1	  1	  1	  5	  5	  5	  5	  4	  5	  5	  3	  4	  1	  4	  5	  4	  5	  4	  4	  4	  2	  4	  5	  4	  5	  4	  4	  3	  4	  5	  4	  4	  5	  5	  4	  3	  5	  4	  4	  3	  4	  4	  3	  4	  5	  5	  4	  5	  2	  5	  3	  4	  5	 40	 42	 23	F
   2	  1	  1	  1	  1	  1	  5	  2	  5	  2	  2	  5	  5	  1	  2	  1	  4	  4	  4	  4	  2	  1	  2	  1	  1	  5	  3	  5	  2	  2	  4	  4	  2	  2	  2	  5	  5	  2	  3	  5	  5	  4	  4	  4	  5	  4	  4	  5	  4	  4	  4	  1	  2	  1	  1	  5	 25	 31	 28	M
   2	  1	  2	  1	  1	  1	  4	  3	  4	  4	  4	  5	  2	  1	  5	  4	  4	  4	  4	  3	  3	  3	  4	  4	  4	  3	  4	  3	  4	  4	  5	  5	  3	  3	  4	  3	  3	  5	  5	  4	  4	  4	  5	  3	  3	  5	  4	  5	  5	  4	  5	  2	  4	  2	  3	  5	 23	 39	 31	F
   5	  1	  2	  1	  1	  1	  5	  2	  4	  5	  3	  5	  4	  3	  2	  2	  4	  1	  3	  4	  4	  3	  3	  1	  3	  1	  2	  5	  4	  4	  4	  5	  4	  4	  3	  5	  4	  4	  3	  5	  5	  3	  2	  3	  3	  4	  1	  2	  1	  1	  1	  1	  1	  5	  5	  1	 25	 19	 23	F
   4	  2	  3	  2	  1	  1	  2	  1	  3	  2	  2	  2	  1	  4	  2	  2	  4	  2	  2	  4	  2	  2	  4	  1	  1	  2	  4	  2	  4	  5	  4	  5	  4	  2	  2	  3	  5	  5	  5	  3	  4	  5	  5	  2	  2	  5	  1	  2	  2	  4	  2	  1	  1	  2	  1	  5	 23	 21	 25	F
   2	  1	  1	  1	  1	  1	  3	  5	  5	  5	  2	  3	  4	  3	  2	  1	  4	  2	  1	  4	  5	  2	  3	  1	  5	  5	  4	  5	  2	  1	  4	  2	  3	  1	  3	  5	  5	  4	  3	  4	  3	  5	  5	  5	  5	  3	  1	  5	  4	  3	  2	  1	  2	  1	  1	  5	 27	 25	 18	M
   4	  1	  2	  2	  3	  2	  4	  4	  4	  2	  2	  4	  3	  2	  4	  1	  3	  2	  4	  4	  4	  2	  4	  3	  4	  4	  1	  3	  3	  4	  4	  5	  3	  2	  3	  4	  4	  5	  1	  5	  4	  2	  3	  3	  3	  3	  2	  4	  4	  4	  4	  1	  3	  3	  3	  4	 25	 32	 19	M
   4	  1	  1	  1	  1	  2	  4	  2	  3	  2	  4	  2	  4	  4	  2	  1	  3	  2	  4	  4	  4	  5	  4	  1	  3	  1	  4	  1	  2	  4	  1	  5	  3	  1	  3	  3	  2	  4	  1	  4	  4	  2	  4	  1	  3	  4	  3	  2	  2	  5	  2	  3	  2	  5	  4	  4	 23	 32	 22	M
   3	  2	  2	  1	  1	  1	  4	  4	  5	  2	  2	  4	  4	  2	  4	  1	  4	  1	  2	  4	  4	  2	  4	  2	  5	  2	  3	  4	  2	  4	  4	  5	  3	  1	  3	  4	  5	  5	  4	  5	  4	  5	  5	  3	  5	  4	  1	  4	  3	  4	  4	  1	  1	  1	  2	  5	 23	 26	 25	F
   3	  2	  1	  1	  2	  2	  3	  4	  4	  2	  2	  3	  4	  4	  1	  3	  4	  3	  2	  4	  3	  4	  4	  2	  2	  1	  3	  2	  2	  4	  3	  5	  3	  2	  2	  2	  2	  4	  2	  4	  4	  4	  3	  3	  4	  4	  2	  3	  2	  3	  3	  1	  3	  2	  2	  2	 23	 23	 21	F
   4	  1	  2	  1	  1	  1	  4	  4	  4	  4	  2	  2	  5	  2	  4	  2	  2	  2	  4	  5	  1	  2	  4	  5	  4	  1	  2	  5	  2	  2	  4	  5	  2	  2	  4	  2	  2	  5	  4	  5	  4	  1	  5	  4	  4	  4	  4	  5	  5	  4	  5	  1	  4	  3	  2	  5	 45	 38	  9	F
   3	  1	  4	  2	  1	  1	  5	  1	  5	  5	  2	  4	  4	  1	  3	  1	  5	  4	  3	  5	  4	  4	  3	  1	  4	  4	  2	  4	  3	  4	  5	  4	  3	  3	  1	  3	  5	  4	  1	  5	  5	  3	  4	  3	  4	  3	  4	  4	  2	  3	  2	  1	  2	  2	  4	  4	 22	 28	 28	F
   2	  1	  2	  1	  1	  1	  5	  2	  4	  2	  4	  3	  5	  2	  4	  1	  3	  5	  3	  4	  2	  5	  3	  1	  4	  4	  2	  1	  2	  5	  4	  5	  2	  5	  4	  1	  4	  5	  5	  5	  4	  5	  5	  2	  3	  5	  2	  2	  2	  5	  3	  2	  2	  5	  5	  5	 23	 33	 25	F
   4	  2	  3	  3	  1	  3	  2	  2	  4	  1	  1	  4	  3	  4	  2	  1	  3	  4	  3	  4	  4	  3	  2	  1	  2	  1	  1	  4	  2	  3	  5	  4	  3	  1	  3	  5	  4	  4	  3	  5	  3	  4	  4	  4	  5	  2	  4	  5	  5	  5	  5	  4	  5	  5	  5	  5	 21	 48	 29	M
   3	  1	  1	  1	  1	  1	  4	  2	  5	  3	  1	  5	  5	  1	  3	  1	  3	  3	  2	  4	  4	  2	  3	  1	  3	  3	  1	  5	  3	  2	  4	  3	  5	  3	  1	  5	  5	  4	  1	  4	  3	  3	  4	  2	  3	  2	  4	  3	  4	  5	  4	  3	  4	  4	  5	  4	 21	 40	 33	M
   3	  3	  2	  2	  1	  1	  4	  2	  5	  3	  2	  4	  4	  3	  4	  1	  4	  4	  1	  5	  4	  3	  3	  2	  4	  4	  2	  5	  4	  3	  4	  2	  3	  3	  2	  4	  5	  4	  3	  5	  4	  4	  4	  4	  4	  4	  4	  4	  4	  4	  4	  4	  4	  4	  4	  4	 21	 40	 33	F
   3	  1	  1	  1	  1	  1	  4	  1	  5	  2	  2	  2	  4	  4	  5	  1	  4	  4	  1	  5	  2	  2	  4	  1	  2	  3	  2	  3	  4	  2	  5	  4	  3	  2	  1	  5	  2	  4	  2	  4	  4	  2	  4	  2	  5	  2	  5	  5	  5	  4	  5	  4	  5	  5	  4	  5	 21	 47	 25	F
   2	  1	  1	  1	  1	  2	  4	  4	  5	  2	  2	  2	  2	  2	  2	  2	  4	  2	  2	  2	  2	  4	  4	  2	  4	  1	  1	  4	  2	  4	  4	  5	  4	  1	  2	  2	  4	  4	  2	  5	  5	  4	  5	  2	  5	  5	  2	  3	  2	  4	  2	  1	  2	  2	  2	  3	 26	 23	 18	F
   1	  2	  1	  1	  1	  1	  4	  2	  5	  2	  4	  5	  5	  2	  2	  1	  5	  1	  4	  4	  4	  3	  2	  1	  4	  2	  2	  4	  5	  2	  1	  4	  4	  1	  4	  5	  5	  5	  2	  5	  3	  2	  5	  5	  5	  2	  2	  5	  5	  2	  4	  1	  4	  2	  1	  5	 25	 31	 22	F
   4	  2	  2	  1	  2	  1	  2	  2	  4	  1	  2	  3	  4	  2	  1	  1	  2	  2	  2	  4	  4	  2	  2	  2	  4	  2	  4	  4	  1	  2	  4	  4	  2	  2	  2	  5	  4	  4	  2	  4	  4	  2	  4	  4	  4	  4	  2	  4	  4	  2	  2	  1	  2	  4	  2	  4	 26	 27	 17	F
   4	  1	  2	  2	  2	  2	  3	  1	  4	  2	  2	  2	  4	  4	  3	  2	  4	  1	  2	  3	  3	  2	  2	  1	  4	  1	  1	  4	  3	  2	  2	  5	  3	  1	  1	  3	  4	  4	  3	  4	  3	  3	  4	  3	  5	  4	  3	  4	  4	  5	  4	  5	  3	  5	  4	  4	 21	 41	 25	M
   5	  5	  5	  5	  5	  5	  5	  1	  4	  4	  2	  4	  4	  2	  2	  2	  4	  2	  2	  4	  4	  4	  4	  2	  4	  1	  1	  4	  2	  4	  2	  5	  2	  1	  1	  2	  4	  2	  4	  5	  5	  5	  5	  4	  4	  5	  2	  5	  5	  2	  5	  1	  5	  2	  2	  5	 22	 34	  0	F
   3	  2	  2	  1	  1	  1	  4	  2	  5	  4	  4	  4	  2	  2	  4	  1	  4	  5	  4	  4	  3	  2	  4	  1	  4	  3	  4	  3	  2	  4	  4	  3	  2	  4	  3	  4	  4	  4	  1	  5	  4	  1	  4	  4	  4	  4	  2	  4	  5	  3	  5	  1	  4	  3	  3	  4	 23	 34	 28	F
   3	  2	  1	  1	  1	  2	  4	  1	  4	  2	  2	  4	  4	  2	  3	  1	  3	  4	  2	  4	  3	  2	  2	  1	  5	  2	  3	  3	  2	  2	  4	  4	  4	  2	  3	  3	  4	  4	  3	  5	  4	  3	  5	  2	  4	  2	  3	  4	  2	  1	  3	  1	  2	  3	  2	  4	 22	 25	 22	F
   1	  2	  2	  1	  1	  1	  1	  1	  1	  4	  2	  1	  2	  2	  5	  3	  2	  5	  1	  2	  2	  3	  3	  1	  1	  4	  4	  2	  2	  2	  5	  1	  1	  4	  1	  2	  1	  1	  1	  1	  3	  2	  2	  4	  3	  1	  2	  1	  1	  1	  1	  5	  2	  5	  2	  1	 22	 21	 26	F
   2	  1	  1	  1	  1	  1	  2	  4	  5	  2	  2	  3	  4	  4	  2	  2	  4	  4	  3	  4	  2	  3	  4	  1	  3	  1	  2	  3	  2	  4	  4	  4	  2	  1	  2	  4	  4	  4	  3	  1	  2	  3	  1	  3	  1	  3	  1	  1	  3	  1	  2	  1	  1	  1	  1	  2	 22	 14	 11	F
   1	  2	  3	  2	  1	  1	  4	  4	  5	  2	  2	  4	  5	  2	  2	  3	  5	  2	  2	  5	  4	  2	  3	  3	  5	  2	  4	  4	  4	  2	  5	  5	  3	  2	  3	  4	  4	  3	  2	  4	  5	  2	  2	  1	  5	  4	  2	  4	  3	  2	  1	  1	  2	  1	  1	  2	 23	 19	 29	F
   2	  1	  2	  1	  1	  2	  5	  1	  4	  4	  4	  4	  5	  2	  4	  2	  4	  5	  1	  5	  4	  2	  4	  1	  4	  4	  2	  4	  5	  2	  5	  2	  4	  5	  2	  5	  5	  4	  2	  5	  4	  2	  4	  4	  5	  4	  4	  4	  4	  1	  4	  3	  3	  5	  4	  5	 22	 37	 22	M
